Country,BP_Start,BP_End,BP_Slope,BP_Curvature,Obesity_Start,Obesity_End,Obesity_Slope,Obesity_Curvature,Diabetes_Start,Diabetes_End,Diabetes_Slope,Diabetes_Curvature,Cluster,Cluster_Name,Country_Code,Continent,Income_Group
Kazakhstan,33.045244595189466,27.203906643876955,-0.20324412606741663,0.1392315981730207,8.51945165691412,19.4668565784371,0.3605908156659507,0.11449989243993969,6.395241288452322,11.382459520947721,0.1643788000740439,0.07101111983991987,0,Moderate Transition,KAZ,Asia,Upper middle income
Kenya,23.712343805978218,26.39257185695866,0.08512067973318113,-0.07035165624606032,1.3147227785837612,6.058031926012548,0.1559262296671353,0.12566443736206345,2.536375845240936,5.718624015958561,0.10661582750100708,0.01988773902923527,4,Lean Hypertension / Low-Obesity Rising-BP,KEN,Africa,Lower middle income
Kiribati,21.86408583539478,21.453564746277202,-0.01127149779606969,0.0370093152847196,22.19263242259113,44.872087550780876,0.7705387412809376,0.0027408158611152977,7.570556124055562,21.628961784961795,0.48310754614282536,-0.09625593715117337,1,Pacific Extreme Outliers,KIR,Oceania,Lower middle income
Kuwait,41.39035045428998,24.55976926103633,-0.5764762240693614,-0.004287296711885102,24.78211338646362,38.55173941686542,0.44693617275336284,0.0016215639262786574,12.65882615364638,18.97295095672726,0.20921866610699877,0.15474847856450397,3,High-Starting-BP Recovery,KWT,Asia,High income
Kyrgyzstan,28.86479611396557,26.50024608895594,-0.07715015959163611,0.11869563598389882,5.708984839760208,14.85034716538199,0.2983184870373368,0.18579633559244457,4.464095335672612,9.739651902779443,0.1720600182722917,0.11093093052412276,0,Moderate Transition,KGZ,Asia,Lower middle income
Lao PDR,21.5350471291575,24.93550378351001,0.1219501319644558,-0.17999805248716017,0.511895781033816,4.19642372812814,0.11834853606060004,0.14396955903264924,3.6204006924513776,7.406324229676881,0.13034769978435612,0.038223224022816665,4,Lean Hypertension / Low-Obesity Rising-BP,LAO,Asia,Lower middle income
Latvia,42.8683005452246,30.15579297200494,-0.45022100845133267,0.05847810856795205,15.248931621465918,22.968415177031904,0.2508788817727282,0.030313190343715324,6.256165060476766,7.033921259205497,0.02106744820013391,0.018455905637176886,3,High-Starting-BP Recovery,LVA,Europe,High income
Lebanon,34.62173342414394,21.24813479505548,-0.48408406590674136,0.09979092090491976,15.768231906128094,31.187691654044368,0.5052611328610496,-0.06398043134627407,7.144904994335595,12.487030498478711,0.165618823554564,0.23229041102571735,3,High-Starting-BP Recovery,LBN,Asia,Upper middle income
Lesotho,26.448348935080823,28.452612527233903,0.06471452234277227,-0.1076566050521007,4.4474409001287105,14.421155572608944,0.33487579708961546,0.1576908025958756,3.6731440491597147,8.211170943085552,0.15543167463346821,0.04639077230177226,4,Lean Hypertension / Low-Obesity Rising-BP,LSO,Africa,Lower middle income
Liberia,30.60659224340863,28.729524282849262,-0.08420220271570972,-0.25090760166608606,2.2387433555941803,8.856289933813319,0.20916364687792852,0.015076158802239614,3.9481687626899484,7.292872261352511,0.09989527226945669,0.06567573407801393,4,Lean Hypertension / Low-Obesity Rising-BP,LBR,Africa,Low income
Libya,36.107178719705765,24.735923827778848,-0.39974497669602105,-0.01703214492096783,16.266116016468583,31.06984043712863,0.4773089424122689,0.0019874267534359946,8.65951529370978,15.27523428008676,0.21738477494683364,0.1705412863874497,3,High-Starting-BP Recovery,LBY,Africa,Upper middle income
Lithuania,42.84311604850801,30.459160696789883,-0.44041668485264296,-0.09249685357992599,15.997582684814429,25.60852373713849,0.3092517407039537,-0.06871473005831785,7.000904125125965,7.76421401285103,0.01668012008402515,0.045941706781917314,3,High-Starting-BP Recovery,LTU,Europe,High income
Luxembourg,40.64608137612904,23.43744783357771,-0.5961262776794369,-0.22328539110429196,10.217344980662208,21.66256371004997,0.38387290043843436,0.10758825871357969,5.05323055256203,5.4000303455363685,0.010923180227240023,-0.026617208716955342,2,Wealthy Decouplers,LUX,Europe,High income
Macedonia (TFYR),35.859999953206206,28.93744670396427,-0.2428401845829994,-0.043277813278385174,11.8641932782469,21.607974255639277,0.3223471404864818,-0.013970684448565085,5.500644805754197,7.028172706173,0.04868468294548933,-0.010743925794563534,3,High-Starting-BP Recovery,MKD,Europe,Upper middle income
Madagascar,25.774699897444783,28.066011506479377,0.07575363925869423,-0.12433538668388208,0.8601162354644607,4.459928263419918,0.1173782237306934,0.0934877298790567,2.6438447271752223,5.360151833304722,0.0915811016209879,0.0004650484507388031,4,Lean Hypertension / Low-Obesity Rising-BP,MDG,Africa,Low income
Malawi,22.69801379955772,28.205736175174927,0.18575076462236878,-0.07492739675504512,0.9979385426502974,4.923148995794017,0.12984688028077385,0.09700374527939885,2.628460940635705,6.008454369563404,0.1141886589513046,0.02229492676921295,4,Lean Hypertension / Low-Obesity Rising-BP,MWI,Africa,Low income
Malaysia,26.97787595309549,23.859362835622722,-0.09103344713144854,-0.18027914517376847,2.4233980855936146,13.585422602205497,0.37317365518724016,0.2830082777136814,5.589581243405168,10.84643450626919,0.18365669508270116,-0.005511460648466998,0,Moderate Transition,MYS,Asia,Upper middle income
Maldives,20.743668202468548,24.49649040292713,0.13063045880426963,-0.08229093778551828,1.1105187521653233,7.079107236503586,0.18960275682292202,0.20943095897729402,4.5812886265224,10.69913727727902,0.21187721226074682,0.005387753887856117,4,Lean Hypertension / Low-Obesity Rising-BP,MDV,Asia,Upper middle income
Mali,29.334476789581924,32.423039104796366,0.09702586711526155,-0.12054787393604408,1.3836959584959203,7.307361084023496,0.19458575426998648,0.16161930471460045,2.928508804465582,7.0087756398626855,0.13595118552105623,0.07101047124324346,4,Lean Hypertension / Low-Obesity Rising-BP,MLI,Africa,Low income
Malta,39.26285432672405,20.94799292285983,-0.6088241963116837,0.0228765794642265,17.75747025465128,28.42298519574944,0.3605308110734742,0.053296162527513846,7.38246156283015,7.705144960021839,0.01312491444770679,0.00802647192957792,3,High-Starting-BP Recovery,MLT,Europe,High income
Marshall Islands,28.30729118423838,21.63529370649944,-0.22079545425234026,0.08360314972905589,33.067314122207655,52.220434144142516,0.640545988038395,-0.10125964447904012,10.621538541618488,20.726674191259512,0.34365622459000034,-0.19579538770738336,1,Pacific Extreme Outliers,MHL,Oceania,Upper middle income
Mauritania,33.48170483726386,32.52440993289936,-0.04380689856509372,-0.3669782211006738,2.134017567913882,11.363523013859353,0.30797467597812045,0.12979755980238883,3.9224331091543,8.657535230007877,0.1597981428982548,-0.022427611849422824,4,Lean Hypertension / Low-Obesity Rising-BP,MRT,Africa,Lower middle income
Mauritius,29.08690821001768,25.1556162979397,-0.13232221310993664,0.04529999154046395,3.791271413847049,9.882492412590551,0.20323895487336374,0.06874332636751188,8.266118476471231,12.723525843500479,0.15070412748188156,-0.06608783783465245,4,Lean Hypertension / Low-Obesity Rising-BP,MUS,Africa,Upper middle income
Mexico,29.51480523660904,20.473875278981282,-0.3056122832876371,0.020986921016033666,12.67056797655114,27.411740762796448,0.492309619169955,0.034075742902144046,6.697179175485009,10.93740243421513,0.14617751228214115,-0.027065268867576764,2,Wealthy Decouplers,MEX,North America,Upper middle income
Micronesia (Federated States of),23.25677559619063,24.381518396013952,0.03743657093940903,0.1426420065015183,24.22843535437192,44.36026955212205,0.6651574539127362,0.028959997793224668,8.425999637185312,20.974746957422617,0.4215325707727513,0.07591742688121261,1,Pacific Extreme Outliers,FSM,Oceania,Lower middle income
Moldova,34.36564165826815,29.96443017846184,-0.16171900560037628,0.06094220921211743,9.412327111502455,17.983248790332038,0.278531429585944,-0.012275917343077924,4.8425601889155745,7.78203688619139,0.09584447728031543,0.08141914518130348,3,High-Starting-BP Recovery,MDA,Europe,Lower middle income
Mongolia,35.68625965594045,29.90697912778749,-0.18579619042364978,-0.04772280029137757,6.722562005192529,18.532846630039938,0.37953152447312233,0.23553874473402836,5.45813163449388,11.04124256542697,0.17920149256127665,0.10780088731247991,0,Moderate Transition,MNG,Asia,Lower middle income
Montenegro,32.558153509689554,29.96615043925517,-0.08296048221540822,-0.23334104598615432,8.434115306370696,22.415554161496708,0.4751089641998935,0.03895785580836103,4.648439650837279,7.0093055850894075,0.07946332868082596,-0.023155061891015155,3,High-Starting-BP Recovery,MNE,Europe,Upper middle income
Morocco,30.63226485737881,26.81982035382415,-0.12376201638515683,-0.16142724559620406,8.862675619836306,24.03694426603409,0.5036662421057401,0.1268123782937559,5.438278096437941,12.987422426868019,0.2521292674584724,0.14228901876041575,0,Moderate Transition,MAR,Africa,Lower middle income
Mozambique,24.372572215387283,28.832797454531892,0.14658745583420155,-0.18108854376868783,1.1116055409749945,6.129276683514378,0.16741624872391236,0.07295941112330181,2.611358044103798,6.148401446064486,0.12195629952258227,-0.0032052590460717317,4,Lean Hypertension / Low-Obesity Rising-BP,MOZ,Africa,Low income
Myanmar,22.67119274091437,24.448649246244507,0.06470551528135766,-0.007687522420432608,0.8114543790177582,4.674387428381046,0.12524974646573275,0.13013417938513894,3.664766574513038,7.128741168522636,0.11765418172415407,0.05228309701896071,4,Lean Hypertension / Low-Obesity Rising-BP,MMR,Asia,Lower middle income
Namibia,30.838736350089505,28.95034338338787,-0.05856733986570916,-0.10418283211786965,4.685967728929094,14.929192013085864,0.33776847839527285,0.2033409291562095,3.295509131265755,7.156134043233839,0.13304208386407088,0.05249180330460414,4,Lean Hypertension / Low-Obesity Rising-BP,NAM,Africa,Upper middle income
Nauru,37.57224644656186,21.43435740326282,-0.531921539813247,0.2832336678878364,48.969901209242266,60.94452964922482,0.3995686231303208,-0.043809711744321134,25.888457436393004,29.212848002513237,0.09879815229720819,-0.3371315865136529,1,Pacific Extreme Outliers,NRU,Oceania,Upper middle income
Nepal,24.13020041525686,29.25083932848928,0.17131568259737087,-0.016635600835687575,0.4902350766674548,3.384803018098215,0.09504018982400916,0.0908969351925101,4.024899740089078,10.174299074217041,0.21148386687406315,0.047485362444136286,4,Lean Hypertension / Low-Obesity Rising-BP,NPL,Asia,Low income
Netherlands,32.45590055713604,20.29746457274586,-0.40058818185761597,-0.1468045650758757,7.1426650593373795,19.363370239336803,0.4129164343761918,0.16502931144503918,3.78707557741726,4.386803103885746,0.023667339692773046,-0.02612550251486528,2,Wealthy Decouplers,NLD,Europe,High income
New Zealand,34.36869249666833,17.343159559193793,-0.5815461303564442,0.11570134858858433,13.68929099875252,29.360159938709945,0.5282991780762996,0.13691980856009867,5.450248620838998,6.8718587357045635,0.050749963794863184,-0.019630813405243794,2,Wealthy Decouplers,NZL,Oceania,High income
Nicaragua,27.711683026948958,21.22873154082586,-0.21847837998636202,0.07361740430654942,9.151537496398214,22.071183103001943,0.43146545537993075,0.13536015619198238,5.58162200475809,9.777798442392015,0.14282951442567746,0.03788240229638627,0,Moderate Transition,NIC,North America,Lower middle income
Niger,29.15519772753757,33.51268664065174,0.14902146252486925,-0.11890020901691976,1.0038445438525152,4.815691871542186,0.12489604888532072,0.0962934005039708,2.5429154060269363,5.406294738674437,0.09924302374968387,0.016760658769960593,4,Lean Hypertension / Low-Obesity Rising-BP,NER,Africa,Low income
Nigeria,27.18646533728628,24.946807435313332,-0.08419596025779835,-0.4137272004779123,1.3870077038755855,7.677834471231753,0.20703349380629266,0.15324776334921306,3.0510086355362835,5.954155692180882,0.09671503435294088,0.009189895954340555,4,Lean Hypertension / Low-Obesity Rising-BP,NGA,Africa,Lower middle income
Niue,23.53739391333255,24.06175359536662,0.01687487019045435,0.022078679494752576,25.18143298572197,48.337167499388684,0.7618386818012591,0.007632392433266855,10.326079523403086,26.17751425910169,0.5302998453781494,-0.06066871692735809,1,Pacific Extreme Outliers,NIU,Oceania,
North Korea,24.36574643817739,18.323104529079348,-0.20130241502763707,0.11055305489414397,2.207893973125536,6.085379916849339,0.12823681153188424,0.06775863289505697,5.6914351380507755,5.7179457780967,-0.0016278087380190605,0.03352264286114193,2,Wealthy Decouplers,PRK,Asia,Low income
Norway,34.1743074046921,20.97854288464213,-0.4412124260709304,-0.03970102717426888,9.83132352819846,22.070720622923652,0.41282228706404867,0.11287822873638187,4.285872254255272,5.0784199774142955,0.030185711668145036,-0.04022669671327442,2,Wealthy Decouplers,NOR,Europe,High income
Occupied Palestinian Territory,31.8296668483529,23.19065120400531,-0.28620803614247,-0.04228412578191537,15.312103345483171,31.21484929114207,0.5302997993393282,0.05099440049426163,7.269629287251601,16.06243493193669,0.29404566975197044,0.22490118426353645,0,Moderate Transition,PSE,Asia,Lower middle income
Oman,31.737250257238248,25.272149256599572,-0.23181373544649814,-0.33112885328780933,8.469928264195762,26.525290147104435,0.5954458084302651,-0.1011807521080259,5.699273340795749,12.82601329537664,0.23546194686656685,-0.02057672663559243,3,High-Starting-BP Recovery,OMN,Asia,High income
Pakistan,27.944424359883715,30.247230882870724,0.0786479647677922,0.04638491686370663,1.6123507457721509,7.491470439917677,0.19320915063938524,0.1444027658510752,5.674010655418085,11.8705587401684,0.20862708635394964,0.06118660290069397,4,Lean Hypertension / Low-Obesity Rising-BP,PAK,Asia,Lower middle income
Palau,30.92428056250936,23.49348973036418,-0.2469580906367741,0.07887730135405993,34.24391993294601,54.53521949438277,0.6619026168773509,-0.07156996441179753,13.19082240288547,22.841004993836997,0.3244742309350815,-0.176653603129961,1,Pacific Extreme Outliers,PLW,Oceania,High income
Panama,25.937096568415996,20.266587157873698,-0.19360950258795642,-0.04522680294260967,8.048709123044798,21.40949562812311,0.45412651673885696,0.14801691215857798,4.991535483832871,8.988602788160042,0.13452496390744811,0.020826851175904312,0,Moderate Transition,PAN,North America,Upper middle income
Papua New Guinea,19.87770226418575,24.821600762587384,0.16477075481679856,0.02271653292583703,7.207968844098408,19.670962878191187,0.41194238496473407,0.12499754476261865,5.997464839064884,14.044896135260137,0.2688831411972366,0.08707697845804888,0,Moderate Transition,PNG,Oceania,Lower middle income
Paraguay,27.922219076734137,25.26334570517452,-0.08066716735332706,-0.23008744316090815,5.871237206260301,18.907691574683568,0.4394546245856848,0.14117755898805145,3.6249868928361053,7.7771665073148855,0.1407644263899873,0.015183640232353746,0,Moderate Transition,PRY,South America,Upper middle income
Peru,25.10019705975004,14.673869986972198,-0.36160438652702376,-0.16234528643046625,8.423964499596924,18.71630647741021,0.34252136064808697,0.08755665177512123,5.539881752991134,7.422706986073348,0.05832926861382224,-0.007004987375806002,2,Wealthy Decouplers,PER,South America,Upper middle income
Philippines,23.361953150097218,22.60006969180976,-0.02948076226304913,-0.05159378759756467,1.1118587359120085,5.6147623053398785,0.148870149541045,0.058877309712850656,4.255373400943232,6.991694351983244,0.09184663327499511,-0.033227602720415486,4,Lean Hypertension / Low-Obesity Rising-BP,PHL,Asia,Lower middle income
Poland,39.728680713250455,29.54667275582201,-0.3548456286249097,-0.025126312084670976,12.90764291482912,22.322200974231983,0.309600089628031,0.061149606735252826,5.7586923511992785,7.447511547529532,0.05401371022820241,0.05246864929962147,3,High-Starting-BP Recovery,POL,Europe,High income
Portugal,30.485028055394714,25.75231003968069,-0.15187245269582467,-0.3049983839739031,7.272136487311704,19.70433049649177,0.41917221682757144,0.10280922774840173,4.344232721163776,6.707150377434675,0.07924862037285568,-0.009214574362579789,4,Lean Hypertension / Low-Obesity Rising-BP,PRT,Europe,High income
Puerto Rico,31.661309914293668,20.07115507713101,-0.4168259816752946,-0.2639429612696074,14.180419746802807,33.345830098373774,0.6216350222784192,-0.403327546327138,7.50948874763647,12.96879397474792,0.17788974649304984,-0.13588633352023882,2,Wealthy Decouplers,PRI,North America,High income
Qatar,39.39553383454222,22.589387705000018,-0.5612060109829973,-0.004674237925207603,21.78075818578866,36.68564830737728,0.5003182048338094,0.09053107149243522,11.4365706980294,18.09315698817142,0.223291291447242,0.23918007008588055,3,High-Starting-BP Recovery,QAT,Asia,High income
Romania,35.57058717349864,30.231822647802222,-0.1881565482052471,-0.024349362734648244,10.539006173955077,21.449407356541002,0.35653387578495127,0.023236063887495106,4.648997652940683,6.599817167197285,0.06460515503270592,0.05227979323752059,3,High-Starting-BP Recovery,ROU,Europe,Upper middle income
Russian Federation,43.004542546046295,28.4818576713139,-0.5073320263038634,-0.013602872375030217,15.11978838474452,22.28512730030347,0.23258973406930916,0.027798579802699536,6.505060897634726,7.5395838458820865,0.03260568114068521,0.04098769170601475,3,High-Starting-BP Recovery,RUS,Europe,Upper middle income
Rwanda,20.20600519115254,26.48694742288917,0.22302620671707168,-0.1439430218151479,0.7801553342525482,4.754469275708567,0.13089622860776007,0.13389063036070276,1.429784076331401,4.214224246816245,0.09675519990786267,0.030659661732002894,4,Lean Hypertension / Low-Obesity Rising-BP,RWA,Africa,Low income
Saint Kitts and Nevis,27.04957840402027,25.371863254589048,-0.052873383595697605,0.08587375528159802,8.55338823241506,21.072731381772304,0.4143950060858502,0.18131244379515038,6.571593584698252,13.765579094610672,0.23843738625377456,0.15600462093974374,0,Moderate Transition,KNA,North America,High income
Saint Lucia,24.352501642579234,26.816776202660463,0.08337894420898759,-0.007259872963077174,6.794629641240425,17.996016299689536,0.3757431088012806,0.04370931757404678,4.319620414553194,13.266313915527968,0.2935493438896022,0.23242812146368536,0,Moderate Transition,LCA,North America,Upper middle income
Saint Vincent and the Grenadines,26.140132561192132,23.78470028713921,-0.07681934603538389,-0.13240372632498867,7.47308447663508,22.12009822912716,0.48849084006596216,0.1593134583370311,4.929976872361412,10.263638614643888,0.18403818207719155,0.009401898217630877,0,Moderate Transition,VCT,North America,Upper middle income
Samoa,20.563421889097167,23.37171494949589,0.0999354109483426,-0.0011978269151424054,25.38635918197225,46.360333263363586,0.705892982349155,-0.021733121751258966,8.177605239426573,23.50874996261893,0.523597986373621,0.07780253986893926,1,Pacific Extreme Outliers,WSM,Oceania,Upper middle income
Sao Tome and Principe,30.867749774326523,26.799349545045573,-0.13513865526285024,-0.2767261632720286,2.184791294480452,10.867700747450908,0.29167158120545345,0.1722807853698935,4.3316054764098695,7.89572122128626,0.12089419674845069,-0.07346153475547436,4,Lean Hypertension / Low-Obesity Rising-BP,STP,Africa,Lower middle income
Saudi Arabia,33.98131305702002,24.15699469300702,-0.3433826938196804,-0.2677634626321977,16.57149575190049,35.127817197156915,0.6071735228260853,-0.08553706450648868,8.638145969555614,16.595945336811507,0.26369503054457305,0.052344519492934866,3,High-Starting-BP Recovery,SAU,Asia,High income
Senegal,32.008662136991475,30.557270671763046,-0.05022667079957111,-0.1604930722609571,2.1215895119423474,7.589123112579318,0.18074167557515633,0.09932283719533311,3.9543092401023237,7.18908186341653,0.10880794508981183,0.011214030598717922,4,Lean Hypertension / Low-Obesity Rising-BP,SEN,Africa,Low income
Serbia,36.28161759701684,30.4307046883216,-0.19599874035881093,-0.1527620141922543,10.221457519805204,20.69120030926867,0.34786245804485744,0.06652069650042969,4.795689844740753,6.732068317955401,0.06317966897118202,-0.00021982110462205606,3,High-Starting-BP Recovery,SRB,Europe,Upper middle income
Seychelles,30.418799029735403,23.855786661726977,-0.22341025856051394,-0.016384605952321524,4.979602520276482,12.956878295265724,0.26270652417871176,0.1316197877306191,5.978789647536054,10.073929116452163,0.13946537467455536,0.017200082748952822,0,Moderate Transition,SYC,Africa,High income
Sierra Leone,31.08218102135775,30.75935816858189,-0.015130192568173786,-0.27209299619901073,1.9208388015671019,7.613479477354441,0.18807961942612408,0.11483731234310815,3.4986448543688,6.558827607745023,0.1020040311228289,0.0338943542856303,4,Lean Hypertension / Low-Obesity Rising-BP,SLE,Africa,Low income
Singapore,33.056879768997284,16.014948257572197,-0.5560564153355858,0.20098670345230268,3.430262499985454,5.820186617751441,0.0792339465901641,0.04327345741945229,7.990122493920815,7.956960859999418,-0.00631322712200101,-0.11589546242398571,2,Wealthy Decouplers,SGP,Asia,High income
Slovakia,38.28337698796291,29.224901338413492,-0.31861252314877475,-0.03996204789028307,10.614491044714416,19.82124158631398,0.3009785380482773,0.002662847432039872,5.061829153441682,7.011537391311729,0.06053852190781933,0.031573135698961315,3,High-Starting-BP Recovery,SVK,Europe,High income
Slovenia,38.04190255413829,30.84938947461767,-0.2554065418292197,-0.050629587647009505,10.412482487845605,19.51172839504582,0.2986704930979706,0.034240822311196684,5.000675128367409,6.931573809282346,0.0621729418530189,0.005990916615568914,3,High-Starting-BP Recovery,SVN,Europe,High income
Solomon Islands,18.43649176218829,21.687969120674552,0.10460567861629419,-0.06002467068381767,6.998455880687532,20.77141660084046,0.45695484482567905,0.17166991572292845,6.323692751177764,13.29577151097017,0.23483760627621267,0.02928964113723273,0,Moderate Transition,SLB,Oceania,Lower middle income
Somalia,31.23658770436456,33.07203858864873,0.07314028263351136,-0.028333548897100803,1.797480569666361,7.173146474378211,0.17756346199923875,0.12135589448819965,3.2701154752238013,6.60501845308895,0.11297601481017824,0.0077866028613668425,4,Lean Hypertension / Low-Obesity Rising-BP,SOM,Africa,Low income
South Africa,35.576157096577056,27.510833065366114,-0.2801323725886594,-0.10975169202628246,12.030542021283118,26.161063980997067,0.47424625662781567,0.13568927975186412,6.339844435014797,10.786553579834086,0.1517158205284487,0.0862401828733397,3,High-Starting-BP Recovery,ZAF,Africa,Upper middle income
South Korea,22.66427033616403,12.412703370501278,-0.33938693435941736,-0.1526289822192789,0.9864466751620011,4.272459392969443,0.1102707511787708,0.0023083051864137977,4.61141658771776,7.775318125133334,0.09641924533228607,-0.17359249776988486,2,Wealthy Decouplers,KOR,Asia,High income
Spain,33.3958586843696,20.62717481846688,-0.423809418355057,-0.10463005039606871,12.529092696589041,23.194278424629104,0.3555271561290995,-0.008605329215765734,5.803030966736431,7.130530069026048,0.049091232269803074,-0.04278464988050458,2,Wealthy Decouplers,ESP,Europe,High income
Sri Lanka,19.47813826202664,22.0236160138756,0.09064673639536586,0.012343014715499492,0.8479529346058461,4.2586296502687855,0.11123128198107728,0.10316265236342403,3.5017839720692203,7.030282761018308,0.11958328473126022,0.042448224067668766,4,Lean Hypertension / Low-Obesity Rising-BP,LKA,Asia,Lower middle income
Sudan,26.789655079210412,30.037525795598906,0.10442968338640103,-0.12235508758749783,1.6551430162211944,7.283540402947405,0.1893311203349747,0.06901156313227533,3.8972191071972744,8.649084237850532,0.16506516553303233,-0.04149478924810429,4,Lean Hypertension / Low-Obesity Rising-BP,SDN,Africa,Lower middle income
Suriname,31.7634417530559,22.974283749411303,-0.3038182765238115,0.02194628015664135,11.92401504245324,25.25708674641266,0.4385363391267189,0.04937774321868049,7.360312456275436,11.81439793251165,0.1443174855074664,0.07823806051301473,3,High-Starting-BP Recovery,SUR,South America,Upper middle income
Swaziland,29.801578926007323,29.49452173484169,-0.02515365139643301,-0.08735841492946453,5.233324940272957,14.734900698589684,0.3124192347606272,0.051951909267683505,4.156189637209762,9.127452718594895,0.165776199645602,0.029313391316426213,4,Lean Hypertension / Low-Obesity Rising-BP,SWZ,Africa,Lower middle income
Sweden,36.266142802247415,20.905655205886042,-0.5093650546138498,-0.05995125265783702,9.802960295538522,19.676438034961727,0.33244163374960295,0.10414675896509307,4.680642127726647,4.90224698242625,0.009850325985320499,-0.0019739463153483523,2,Wealthy Decouplers,SWE,Europe,High income
Switzerland,27.98187127781315,18.82477626710064,-0.32292499640030375,-0.11686860192427917,6.646104789123977,18.699902501484228,0.4022877934358287,-0.10349345378871283,3.2467730042496137,4.026360478412371,0.025378054751218685,-0.04644894235689965,2,Wealthy Decouplers,CHE,Europe,High income
Syrian Arab Republic,30.408727359425267,25.31229893486873,-0.16537860481026062,-0.18894458862901567,11.312244743281875,26.120483264176993,0.4914898640759678,0.1871400287616919,6.441201023449432,13.98379237701992,0.25464865504968554,0.10692922102600114,0,Moderate Transition,SYR,Asia,Lower middle income
Taiwan,23.02676545850175,17.14228901087995,-0.21740853689733206,-0.1939581604357968,1.5561303057649871,6.922258812516342,0.17631410889299923,0.028531086214061557,5.451243175723378,6.857826979215801,0.03985075942808348,-0.01963797491462986,2,Wealthy Decouplers,TWN,Asia,High income
