Year,BP_Mean,BP_StdDev,BP_CV,Obesity_Mean,Obesity_StdDev,Obesity_CV,Diabetes_Mean,Diabetes_StdDev,Diabetes_CV
1997,27.754883655063708,3.9969010003655994,0.14400712501766835,13.62746646227732,10.228556991498749,0.750583904925599,7.435498837208529,3.8520417128702973,0.5180609663462
1998,27.561573711441394,3.925925310030616,0.14244198648210285,13.970866587678156,10.363477989173356,0.7417920659491232,7.581534721339544,3.9223502246619106,0.5173557028792305
1999,27.365600668820008,3.8683827179499803,0.14135932058518866,14.31936752417344,10.497095962531846,0.7330698052697527,7.72883575309734,3.9929977806914647,0.5166363871934095
2000,27.167888852588145,3.824455201232191,0.14077115899522147,14.673316308129406,10.629243890134786,0.7243927457793508,7.878113030593167,4.064263525515213,0.5158930202870169
2001,26.969343301084074,3.794659924503803,0.14070271871808132,15.033928808001189,10.760008691263206,0.7157150222459904,8.028790654275767,4.135799344997516,0.5151210839947581
2002,26.769678184766782,3.7785412902960305,0.14115004536909972,15.401293648761541,10.889191668721779,0.707030975258199,8.180484873311578,4.207450703274266,0.5143277896645055
2003,26.568575107116946,3.774663594103951,0.14207248897938937,15.775288806167751,11.016526962528221,0.6983407465872212,8.332170127860167,4.2799936892404515,0.5136709432911714
2004,26.3671865933067,3.783802292757696,0.14350421040818262,16.1559136631505,11.141893596434967,0.6896480031239676,8.484330096934555,4.350329947646703,0.5127487848708888
2005,26.166197674594557,3.8055103774079355,0.1454361242979833,16.543203677744795,11.26547651394692,0.6809730892150059,8.636210571032214,4.41979751155238,0.5117750980247484
2006,25.964867270949885,3.83949404398248,0.14787266208282135,16.93696669370882,11.386462488688684,0.6722846360038098,8.78794917462473,4.488256483300738,0.5107285436129527
2007,25.76494046461182,3.884637881945572,0.15077224367279743,17.33745504847617,11.505239793030777,0.6636060344993944,8.940992300264838,4.558065032314084,0.5097940898773697
2008,25.566798860480112,3.9392483791613477,0.15407671490897681,17.744755288872057,11.621739362869066,0.6549393989195892,9.095516719902879,4.632116098939574,0.5092746505323378
2009,25.368892185518824,4.001376617397367,0.15772768428892803,18.158818816339952,11.735917672638333,0.6462930100980983,9.247025771365793,4.705280133753482,0.5088425457106203
2010,25.172437067270547,4.070254888811438,0.1616949077252287,18.57985968830073,11.847555187361769,0.6376557942911634,9.40160569074804,4.7797930937245905,0.5084017827325287
2011,24.977410390809105,4.1443457958682215,0.16592375794863062,19.008012177241973,11.955978341020154,0.6289967740727187,9.55921430895168,4.8548936771293,0.5078758065485527
2012,24.786128449127027,4.225787058157564,0.17049000076114737,19.443699718027553,12.061295512677342,0.6203189561446739,9.721489934471226,4.934764705703682,0.5076140323105828
2013,24.59707786247119,4.3117609429040415,0.17529565776114728,19.88745742831818,12.163618008282157,0.6116225793128346,9.888895912007767,5.016983113935953,0.5073350107613118
2014,24.41032459840233,4.401696235703992,0.18032108577499562,20.339906033043206,12.262925094254308,0.6028997909003397,10.063203922960799,5.10215244814221,0.5070107380514111
