Country,BP_Start,BP_End,BP_Slope,BP_Curvature,Obesity_Start,Obesity_End,Obesity_Slope,Obesity_Curvature,Diabetes_Start,Diabetes_End,Diabetes_Slope,Diabetes_Curvature,Cluster,Cluster_Name,Country_Code,Continent,UHC_End,Gini_Index,Gini_Year,Income_Group,WHO_Region,Income_Group_Ordinal,BP_Residual,BP_Predicted_By_Obesity
Cuba,33.45077276510449,19.77338094996457,-0.4811185263444978,-0.0511888667942655,10.680509146929523,23.5550278870049,0.4265675647436627,0.0499175418170771,5.808335623660853,8.19450083969554,0.0738531081818545,-0.0207220188391971,2,Wealthy Decouplers,CUB,North America,82.6,,,Upper middle income,Americas,3.0,-4.5485483914780005,24.32192934144257
Cyprus,27.2298080053822,20.77609498764685,-0.2190513288115082,-0.3384951149205999,9.095928888898372,21.17866982094067,0.397462224737212,-0.1169027056026875,3.913137616627405,6.892905438313067,0.1029745103324075,-0.0771972938955219,2,Wealthy Decouplers,CYP,Asia,72.6,31.8,2023.0,High income,Europe,4.0,-3.816146637241758,24.592241624888608
Czech Republic,40.6384991905663,28.586053912108337,-0.4126112145986433,0.1488540456851811,17.13804300390576,25.440372590482163,0.2685117532868901,0.0524262138801462,6.7787247316856,7.414205428571806,0.0200645097080623,0.0550865679846122,3,High-Starting-BP Recovery,CZE,Europe,82.0,25.7,2023.0,High income,Europe,4.0,4.478583763140872,24.107470148967465
DR Congo,28.390247972958548,28.602161945323097,0.0015579956859684,-0.1133474607012314,1.2320285946448248,5.742128940956556,0.148483212673278,0.119374703241046,2.5627301373003597,5.789969387971656,0.1056849362942695,0.0477879452241241,4,Lean Hypertension / Low-Obesity Rising-BP,COD,Africa,37.6,44.7,2020.0,Low income,Africa,1.0,2.254003704430783,26.348158240892314
Denmark,35.83984065218626,22.375327958598383,-0.4258853458319672,-0.0923344896557914,9.21520516614295,18.852885612927487,0.3215714181817329,0.0650782326453977,4.706758488490133,4.347648564173132,-0.0122019728649794,-0.0319866383050254,2,Wealthy Decouplers,DNK,Europe,80.8,29.9,2023.0,High income,Europe,4.0,-2.4814731403226986,24.856801098921082
Djibouti,38.12690456405288,27.74441060677063,-0.3514551498337916,0.0038771541530963,5.760078837974257,12.783463167834077,0.2295870791288591,0.0376026917033421,5.855300733703659,8.07984256010219,0.0780925535364071,-0.0764507564787671,3,High-Starting-BP Recovery,DJI,Africa,41.0,41.6,2017.0,Lower middle income,Eastern Mediterranean,2.0,2.197208737123489,25.54720186964714
Dominica,29.00101239152829,23.357801976488933,-0.1985424620570929,-0.2511902790129906,9.49561362074622,26.39519297509156,0.5594894984007914,-0.0860350000823331,5.393459287390593,10.621170788398706,0.1711029349040857,0.0152302773865665,3,High-Starting-BP Recovery,DMA,North America,74.6,,,Upper middle income,Americas,3.0,-0.6410567295607343,23.998858706049667
Dominican Republic,28.0716538044278,22.47842671837269,-0.1809236874713753,-0.1104955721295863,8.867997205375488,25.425890472909902,0.5452034212717104,0.3106041188209909,4.343794694630269,9.721513597106483,0.1872447866804851,0.0551890844699402,0,Moderate Transition,DOM,North America,73.2,39.0,2024.0,Upper middle income,Americas,3.0,-1.6306907809356197,24.109117499308308
Ecuador,22.978839885408615,18.307217438676368,-0.1630488106744256,-0.0645137645597987,7.033723587716255,18.69502198567698,0.3900545117010162,0.0571139459054855,4.262248018156323,7.632341495495334,0.1120406617817828,0.0079837471455913,2,Wealthy Decouplers,ECU,South America,73.4,45.9,2025.0,Upper middle income,Americas,3.0,-6.567540751040308,24.874758189716676
Egypt,29.489321459020232,25.33856800562207,-0.140065742583105,-0.0508718452348993,14.850501863328466,30.19274416361487,0.5081492238949031,0.1815933269639683,7.591202493854118,16.90507019911457,0.3064239165888512,0.1715108227257455,0,Moderate Transition,EGY,Africa,73.8,28.5,2021.0,Lower middle income,Eastern Mediterranean,2.0,1.7716832297356717,23.566884775886397
El Salvador,24.57697521990106,19.41144558130465,-0.1730325822777461,-0.0500993293415694,7.813725924641631,22.46663930055403,0.4969138217816127,0.165574182784751,5.400460249285487,9.736949325263012,0.1509300280792109,-0.0181372680770213,0,Moderate Transition,SLV,North America,77.6,39.8,2023.0,Lower middle income,Americas,2.0,-5.034288673329055,24.445734254633706
Equatorial Guinea,28.49061903551021,28.515258691875204,-0.007173424873675,-0.137623730935633,1.7532937300786735,7.345692236287485,0.188021140869668,0.081307288114146,2.86331059210979,8.874579784359389,0.2069373323508424,0.1441916600790163,4,Lean Hypertension / Low-Obesity Rising-BP,GNQ,Africa,38.8,38.5,2022.0,Upper middle income,Africa,3.0,2.349506824080134,26.16575186779507
Eritrea,24.67300805116665,28.564431234800008,0.1303933657472064,-0.0367697354217847,0.894152305686229,4.117065464487529,0.1053072170263886,0.0878475275377193,2.337243181776981,5.252078416404312,0.0999179818567328,0.0127927817533456,4,Lean Hypertension / Low-Obesity Rising-BP,ERI,Africa,38.6,,,Low income,Africa,1.0,2.0314209611512695,26.53301027364874
Estonia,41.58910939435445,28.430530525152392,-0.4559025491381701,0.0838662893276639,14.138888673666347,20.74790683821951,0.2149664284261166,0.0444261939972291,6.212010316661606,7.00650614648512,0.0253785818428451,0.0328377018474583,3,High-Starting-BP Recovery,EST,Europe,75.2,30.7,2023.0,High income,Europe,4.0,3.78928932938841,24.641241195763982
Ethiopia,23.83852869317168,29.692609770721653,0.1954023652032288,-0.0074622403054672,0.7547782922507613,3.754118682030656,0.0980825958332114,0.0808860994035141,2.425123881666311,5.175467869480897,0.0930721335346848,0.0163598840451472,4,Lean Hypertension / Low-Obesity Rising-BP,ETH,Africa,24.8,31.1,2021.0,Low income,Africa,1.0,3.118314063309221,26.574295707412432
